prompt	response
"アシスタント

毎日グループ内のメッセージにちゅうもくされますか? 
分からないことがあれば本村先生に相談されていますか?"	"アシスタント

毎日グループ内のメッセージを確認されていますか? 
分からないことなど、本村先生に相談されていますか?"
"せんせい

もちろん無料です。住所を記入するだけでこの本はお宅に郵送されます。後ほどアシスタントに私の学習グループに参加するように招待させます。"	"先生

もちろん無料です。
住所を記入するだけでこの本はご自宅へ郵送されます。
後ほどアシスタントに私の学習グループに参加するよう、招待いたします。"
"先生

理由は何ですか？
投資に関するご質問がございましたら、お知らせください。"	"先生

理由は何か教えていただいてもいいですか？
もし、投資に関するご質問がございましたらお知らせください。"
"アシスタント

お世話になっております。
先生が推奨する優良株に注目されましたか？
わからないことがあれば、いつでもご連絡ください。
ご連絡をお待ちしております。"	"アシスタント

お世話になっております🙇🏻‍♀️
先生が推奨する優良株に注目されましたか？
わからないことがあれば、いつでもご連絡ください。
ご連絡をお待ちしております!"
"せんせい


1605は現在上昇通路にあり、上方売りの影響を受けて、株価は回復中で、出来高は活発で、テクニカル指標は上向きのゴールデンクロス傾向にあり、短期的には再び株価が上昇する見通しで、保有を提案します。"	"先生


1605は現在上昇通路にあり、上方売りの影響を受けて、株価は回復中です。
出来高は活発で、テクニカル指標は上向きのゴールデンクロス傾向にあります。
短期的には再び株価が上昇する見通しの為、保有を提案します。"
"先生




参考にしてみてください。もし購入したら現在の価格で購入してください、購入後に適切な価格に登録して販売を通知いたします"	"先生




参考にしてみてください。
もし購入される場合は、現在の価格で購入してください。
そして、購入後はこちらまでお知らせください。
利益を受けとっていただく為に、適切な価格で販売するよう通知いたします。"
"先生





大丈夫です、パートナーの本村先生に連絡してください
基礎知識を学んで、頑張ってください"	"先生





大丈夫です、私のパートナーの本村先生へ連絡してください
基礎知識を学ぶことができますので、頑張ってください"
"アシスタント


ご信頼に感謝いたします
私に保有ポジションのスクリーンショットを送ってください。
私は登録いたします。
本村先生の学習グループに注目してください。分からないことがあれば私に相談してください。こちらから答えます"	"アシスタント


ご信頼に感謝いたします
私に保有ポジションのスクリーンショットを送ってください。
登録いたします。
本村先生の学習グループにご注目ください。
もし、分からないことがあれば相談していただければお答えします。"
"先生


アシスタントの矢口登録のお手伝いをしますので、ぜひアシスタントに連絡してください"	"先生


アシスタントの矢口が、登録のお手伝いをしますので、ぜひアシスタントまでご連絡ください"
"先生


前は株投資触ったことありますか？"	"先生


以前、株投資をしたことはありますか？"
"アシスタント

お世話になっております
最近問い合わせが多すぎて、私のIDは発言を制限されやすいので、
ぜひ私の公式LINEを追加してください、よろしくお願いします"	"アシスタント

お世話になっております
最近問い合わせが多すぎるため、私のIDは発言を制限されやすいのです。
ぜひ私の公式LINEを追加してください、よろしくお願いします"
"アシスタント

こんにちは、お忙しい中申し訳ございません
恐れ入りますが、本村先生の名刺を追加して、今日の暴騰した金株の取引についていますか、
取引についていけないことがあれば、取引のスクリーンショットを送ってください。
こちらで登録の準備をいたします。これからは追跡を実施いたします。
今週金曜日には25%の収益計画が完了する見込みです。"	"アシスタント

こんにちは、お忙しい中申し訳ございません
恐れ入りますが、本村先生の名刺を追加して、今日の暴騰した金株の取引についていっていますか？

取引についていけないことがあれば、取引のスクリーンショットを送ってください。
こちらで登録の準備をいたします。これからは追跡を実施いたします。
今週金曜日には25%の収益計画が完了する見込みです。"
"先生




今日は株式市場が休場しているので、明日の朝から良質な株が出たらお勧めします"	"先生




今日は株式市場が休場しているので、明日の朝、良質な株が出たらお勧めします"
"先生



投資には理論から実践までのシステム学習が必要であります。
私は新しい学生一人一人に投資スキルを高める本を送ります。初心者には大きな助けになります
後でアシスタントの矢口に私たちの学習グループに招待させていただきます"	"先生



投資には理論から実践までのシステム学習が必要であります。

新しい学生一人一人に投資スキルを高める本を送ります。これは初心者にとって、大きな助けになります
後ほど、アシスタントの矢口から学習グループに招待させていただきます"
"先生



今日は問い合わせの会員が多いので、ご質問をタイムリーに解決できませんでした
申し訳ありませんが、投資に関する本を無料でプレゼントします。
リンクをクリックして登録して受け取ることができます。
私はアシスタントにできるだけ早くそれをお手元に郵送させて、あなたに大きな助けがあると信じています
登録したらアシスタントに伝えてください。彼女に知ってもらいます。
ありがとうございます。"	"先生



今日は問い合わせの会員が多いので、ご質問をタイムリーに解決できませんでした
申し訳ありませんでした。

投資に関する本を無料でプレゼント致します。
リンクをクリックして登録して受け取ることができます。

私はアシスタントにできるだけ早くそれをご自宅へ郵送します。このプレゼントが大きな助けになると信じています。
登録後、アシスタントにお伝え下さい。"
"アシスタント




もちろん詐欺ではありません。完全に無料です。
だまされましたか。お金を請求してないでしょう"	"アシスタント




もちろん詐欺ではありません。
完全に無料です。
お金は請求しません"
"先生



ご追加ありがとうございます
初心者として、私が大好きな投資知識書をお届けしたいので、受け取ってほしいのですが、私が設立した学習グループは毎日投資に関する情報を共有しています。
グループの情報に注目してください。分からないことがあれば、いつでもコメントしてください"	"先生



ご追加ありがとうございます
初心者の方には、私のおすすめの投資知識書をお届けしたいので、受け取っていただきたいです。

私が設立した学習グループは毎日投資に関する情報を共有しています。
グループの情報にご注目ください。もし、分からないことがあれば、いつでもコメントしてください"
"先生



学習グループにもあなたと同じ初心者がたくさんいますが、"	"先生



学習グループにもあなたと同じ初心者の方が、たくさんいらっしゃいます。"
"アシスタント



もちろん可能でございます、
本村先生の公式LINEを追加することができます。
本村先生は投資家一人一人に無料の書籍を用意しています。どんな投資問題があっても先生に相談することができます。
今後の投資に役立つことを願って、これから一緒に頑張ります！"	"アシスタント



もちろん可能でございます、
本村先生の公式LINEを追加することができます。
本村先生は投資家一人一人に無料の書籍を用意しています。
どんな投資問題でも、先生に相談していただけます。
今後の投資に役立つことを願っております。"
"アシスタント



5395は現在上昇通路にあり、技術指標は上向きのゴールドクロス傾向にあり、10/18形式のゴールドクロス後は上昇優位にあり、すでに圧力点を突破しており、様子見を提案しております"	"アシスタント



5395は現在上昇通路にあり、技術指標は上向きのゴールドクロス傾向にあります。
10/18形式のゴールドクロス後は上昇優位にあり、すでに圧力点を突破しており、様子を見ていただくことを提案します"
"先生



私の学習グループに参加してください。中には同じような投資初心者がたくさんいます。お互いに学ぶことができます。私は毎日中で最新の情報と投資テクニックを発表します。
これはあなたの向上に役立ちます。"	"先生



学習グループに参加してください。中には同じような投資初心者がたくさんいます。
そして、お互いに学ぶことができます。
毎日、最新の情報と投資テクニックを発表します。
これは投資の知識の向上にお役に立てると思います。"
"アシスタント



本村博士は非常に才能と経験のあるデータアナリストです。
彼は投資家に専門的な投資提案を提供しました。
彼は10年以上の投資経験があります。
彼は主に証券、基金、fxの投資教育と取引操作を担当し、独特の投資視点を持っています
私たちはあなたが本村博士の専門指導から利益を得ることを望んでいます。
しかし、どのように選択しても、私たちはあなたを尊重します"	"アシスタント



本村博士は非常に才能と経験のあるデータアナリストです。
彼は投資家で、専門的な投資提案を提供しており、10年以上の投資経験があります。
彼は主に証券、基金、fxの投資教育と取引操作を担当し、独特の投資視点を持っています
本村博士の専門指導から利益を得ることを望んでいます。
しかし、どのような選択をされてもご意見を尊重します。"
学習グループに参加することに成功しましたか。	学習グループに参加できましたか？
"アシスタント




私たちはただ投資の方法を教えて、みんなの問題を解決しておりますが、みんなにどんな製品に投資するように強制しておりません
FXというのは、知らないなら投資しないでください"	"アシスタント




私たちはただ投資の方法をお伝えして、皆様の問題を解決しております。
皆様にどの製品に投資するようになど強制しておりません。
FXをご存知でない場合は投資をされないほうがいいと思います。"
"アシスタント




こんばんは、お邪魔してすみませんが、
xxx様は本村先生からの素敵な贈り物を受け取っていますか？"	"アシスタント




こんばんは、お忙しいところすみません。
xxx様は本村先生からの素敵な贈り物を受け取られましたか？"
"先生




はい、今後投資に関する問題があれば、いつでも連絡してください。
すぐに助けてあげます"	"先生




はい、今後投資に関する問題がありましたら、いつでも連絡してください。
すぐにお手伝いします。"
"先生



xxxxさんは今、株式、信託、FX、金などの投資製品を持っていますか。
もしこの方面の疑問があれば、私は合理的なアドバイスをすることができます。"	"先生



xxxxさんは今、株式、信託、FX、金などの投資製品をお持ちですか？

もしこの方面の疑問がありましたら、お答えします"
"l先生


前には株投資を触ったことありますか？"	"l先生


前には株投資をしたことはありますか？"
"先生




いつでも申し込むことができます
前に株式投資の経験はありましたか。"	"先生




いつでもお申し込み可能です。
株式投資の経験はありますか？"
"先生



お忙しい中ありがとうございます。
もしあなたが株式コード1605を購入したら、スクリーンショットを送ってください。
私は登録してリアルタイム分析を行い、最大の収益を達成します
私の学習グループに注目してください。私は毎日学習グループで投資の知識を共有しています。
分からないことがあれば、いつでも私に相談して、私は答えます"	"先生



お忙しい中ありがとうございます。
もし株式コード1605を購入された場合は、スクリーンショットを送ってください。
私は登録し、リアルタイム分析を行い、最大の収益を達成できるようにします。
学習グループにご注目ください。
毎日学習グループでは、投資の知識を共有しています。
分からないことがあれば、いつでもご相談ください。"
"先生



邪魔しないようにグループメッセージを設定することができればいいですが、暇なときには、グループの中で私が共有している投資コースを見ることができます"	"先生



グループメッセージの通知が迷惑にならないように設定することができます。
お時間がある時に、グループの投資コースをご確認ください。"
"先生

おはようございます
あとで本村先生のゼミにお誘いします
本村先生は毎日優良株の推奨と投資ノウハウの共有をしています
グループ情報をチェックして、お役に立てればと思います"	"先生

おはようございます
あとで本村先生のゼミにお誘いします
本村先生は毎日優良株の推奨と投資ノウハウの共有をしています
グループ情報をチェックしていただきたいです。
お役に立てればと思います"
"アシスタント




あまりにも多くの人が私のlineを追加するので、私のアカウントがブロックされております
再び追加するためには、当社の学習グループへの投資に招待するために、当社の本村教授は、毎日の投資ノウハウと最新の優良株を共有することが可能でございます。お役立つできるように期待しております、ぜひご参加ください"	"アシスタント




あまりにも多くの方が私のLINEを追加しているため、私のアカウントがブロックされております

当社の学習グループへの投資に招待するために、再び追加いたしました。
当社の本村教授は、毎日の投資ノウハウと最新の優良株を共有しています！
これらの情報はお役に立てると思いますので、ぜひご参加ください✨"
"先生


もしまだ投資を経験したことがないのでしたら、まずは学習グループに入って投資経験を高め、投資で最大の利益を得られるようにすることをお勧めしますし、私もグループで株選びのノウハウや投資ノウハウを日々共有しています。
セミナーには池上彰さんとご一緒させていただきます。"	"先生


もしまだ投資を経験したことがないのでしたら、投資で最大の利益を得る為に、まずは学習グループに入って投資経験を積むことをお勧め致します。

グループでは、株選びや投資ノウハウを日々共有しています。
セミナーには池上彰さんとご一緒させていただいております。"
"先生




ご追加ありがとうございます。
はい、アシスタントにxxxさんの登録をお知らせします
リアルタイムで分析して最適な選択を与えます
初心者として私はあなたが多く私の学習グループの毎日共有する投資の情報に注目することを提案して、分からない問題がいつでも私にお気軽くにお声掛けください"	"先生




追加していただき、ありがとうございます。

アシスタントにxxxさんの登録するようお伝えします。
リアルタイムで分析しますので、最適な選択を選んでいただけます。

私の学習グループでは毎日投資の情報を投稿しています。ご注目ください。
もし、分からないことがありましたら、いつでもお気軽にお声掛けください。"
"先生


私は株式投資のノウハウをまとめた本を出しました。
初心者の方には無料でお贈りしますので、とても役に立ちます
受け取ったら私のアシスタントに登録してもらいます"	"先生


私は株式投資のノウハウをまとめた本を出しました。
初心者の方には無料でお贈りいたします。
この本はとてもお役に立てると思います。

受け取っていただいたら、私のアシスタントに登録してもらいます"
"せんせい


株式の選び方、株式売買ポイントの選択などの内容があります"	"先生


株式の選び方、株式売買ポイントの選択などの内容があります。"
"アシスタント

おはようございます
本村先生からのお知らせを受けましたんで、登録させていただきます。
より良くお手伝いするために、購入後の詳細なスクリーンショットを送ってください。"	"アシスタント

おはようございます
本村先生からのお知らせを受けましので、登録させていただきます✨

より良くお手伝いさせていただくために、購入後、詳細なスクリーンショットを送ってください!"
"せんせい


投資には理論から実践までのシステム学習が必要です"	"先生


投資には理論から実践までのシステム学習が必要です"
"先生

トップページに戻ってスクリーンショットをください。一歩ずつ購入方法をお教えします。
今初心者なので、まずたくさん買わないでください。まず流れを慣れてください。"	"先生

トップページに戻り、スクリーンショットをしてください。
順番に購入方法をお伝えします。

今はまだ初心者なので、たくさん購入しないでください。
まずは流れに慣れてください。"
"せんせい

こんにちは、後ほど本村先生の学習グループに参加するためにご招待します
本村先生は毎日グループで投資コースを共有しています
お役に立てれば幸いです"	"先生

こんにちは
後ほど本村先生の学習グループに、参加していただく為にご招待します。
本村先生は毎日グループで投資コースを共有しています
お役に立てれば幸いです。"
"アシスタント


政府の減税政策による利益を受けています。昨日の日経平均株価は反発した上、イスラエル・パレスチナ紛争の情勢が不透明なため、原油価格は続伸する可能性があります。
これらのニュースはすべて本村先生が推薦した優良株1605の好材料となっています。
優良株の詳細については、本村先生の公式LINEを追加してください。"	"アシスタント


政府の減税政策による利益を受けています。
昨日の日経平均株価は反発した上、イスラエル・パレスチナ紛争の情勢が不透明なため、原油価格は続伸する可能性があります。

これらのニュースはすべて本村先生が推薦した優良株1605の好材料となっています。

優良株の詳細については、本村先生の公式LINEを追加してください。"
"先生


今日の寄り付きは上昇の勢いがよく、短期的には10%に上昇する見込みです。
参考にして、現在価格で購入して、購入後にお知らせください。適切な価格帯に登録して利益を得るために、売却をお知らせします。"	"先生


今日の寄り付きは上昇の勢いがよく、短期的には10%に上昇する見込みです。
参考にしていただき、現在価格で購入し、購入後はお知らせください。

適切な価格帯に登録して利益を得るために、売却のタイミングをお知らせします。"
"先生


申し訳ありません
学習に訪れる人数が多いため、重要な投資情報がタイムリーに伝えるように、必ずxxxxxのプライベートLINEを追加してください。"	"先生


申し訳ありません。

現在、学習に訪れる人数が多くなっています。
重要な投資情報をタイムリーに伝える為、必ずxxxxxのプライベートLINEを追加してください。"
"せんせい

パートナーである本村先生です
本村先生は株式、ファンド、FXなどの分野で長年の経験があり、どんな問題があっても直接相談することができます"	"先生

私のパートナーである本村先生です

本村先生は株式、ファンド、FXなどの分野で長年の経験があり、どんな問題も、直接相談していただけます。"
"アシスタント

1605は現在上昇通路にあり、上方売りの影響で株価が反発しており、出来高は活発で、テクニカル指標は上向きのゴールデンクロス傾向にあり、短期的には再び株価が上昇すると予想されているので、今日も本村先生は1605をお勧めします"	"アシスタント

1605は現在上昇通路にあり、上方売りの影響で株価が反発しております。
出来高は活発で、テクニカル指標は上向きのゴールデンクロス傾向にあり、短期的には再び株価が上昇すると予想されているため、今日も本村先生は1605をお勧めします。"
"アシスタント

かしこまりました、ご連絡いただきありがとうございます
すでに登録させていただきました。本村先生に伝えて、リアルタイムのフォローアップを行います。また、グループ内で毎日共有されている投資情報にも注目してください。分からないことがあれば、いつでも相談してください。お答えします。"	"アシスタント

かしこまりました、ご連絡いただきありがとうございます✨

すでに登録させていただきました。本村先生にお伝えし、リアルタイムのフォローアップを行います。
また、グループ内で毎日共有している投資情報にもご注目ください！

もし分からないことがあれば、いつでもご相談ください🥰"
"せんせい

とても良い無料学習の機会で、空き時間にグループの情報に注目してください"	"先生

とても良い無料学習の機会ですので、空き時間がありましたら、グループの情報にご注目ください。"
"アシスタント


ご信頼とご支持ありがとうございます
購入後にスクリーンショットを送ってください。登録させていただきます
よろしくお願いします"	"アシスタント


ご信頼とご支持ありがとうございます🥰

購入後にスクリーンショットを送ってください。登録させていただきます。
よろしくお願いします！"
"アシスタント


どうしてグループを退会されましたか。投資にご興味がないのでしょうか、それとも私のサービスができていないのでしょうか、ご返事を頂けると幸いです。私たちは改善いたしますので、よろしくお願いします"	"アシスタント


どうしてグループを退会されたのでしょうか？

投資にご興味がありませんでしたか？
それとも私のサービス不足でしょうか？
改善いたしますので、お返事を頂けると幸いです。
よろしくお願い致します。"
この取引口座に問題がありますか。偽サイトかもしれないです。	"この取引口座に問題がありますか？
偽サイトかもしれないです。"
"アシスタント




申し訳ありませんが、送ったファイルには購入したスクリーンショットがありませんので、購入後のスクリーンショットを送ってください。
こちらから登録します"	"アシスタント




申し訳ありませんが、送っていただいたファイルには購入したスクリーンショットが無かったため、購入後のスクリーンショットを送ってください。
こちらから登録します"
"先生



アイコンの分析によると、この株の上昇傾向は比較的強く、後期には上昇傾向にあるので、参考にして、時価で購入して、取引のスクリーンショットを私に送ってください。
私はあなたの追跡を登録して、後続に利確の通知があります。私はここで最初に通知します"	"先生


アイコンの分析によると、この株の上昇傾向は比較的強く、後期には上昇傾向にあります。
参考にしていただき、時価で購入された場合は、取引のスクリーンショットを私に送ってください。
私はあなたの追跡を登録して、後続に利確の通知を送ります。
可能な限り早くお知らせいたします。"
学習グループに参加しましたか。	学習グループに参加しましたか？
"先生


ご住所は記入しましたか。毎日暇があればグループの中のニュースにもっと注目して、分からないことはいつでも私にメッセージを残してください！"	"先生


ご住所は記入しましたか。お時間がある時に、グループの中の毎日のニュースに注目をしてください。
もし、分からないことはいつでも私にメッセージを残してください！"
"アシスタント



ごサービスきて光栄です
どうぞよろしくお願いいたします。"	"アシスタント



サービスする事ができて光栄です😌
どうぞよろしくお願いいたします🙇🏻‍♀️"
すみません、いみよくわからないです	申し訳ないですが、おっしゃっている言葉がよく分かりません。
"先生



私はみんなに本を送って、みんなにもっと勉強して、自分の投資能力を高めることができるようにしたいので、株については、私はフォローを実施して、みんなのために株を分析して、上昇傾向が強くて何のリスクもない良質な株があって、私はきっとあなたに推薦することを選びます"	"先生



私はみなさんに本を送り、みなさんがもっと勉強して、自分投資能力を高めることができるようにしたいと考えています。
株については、私はフォローを実施し、みなさんのために株を分析しています。
上昇傾向が強くて何のリスクもない良質な株がありましたら、お勧めいたします。"
"アシスタント



ファイルはダウンロードされていますが、中身はありません。
ファイルを圧縮する必要はありません。スクリーンショットを送ってください。ありがとうございます"	"アシスタント



ファイルはダウンロードされていますが、中身はありません。
ファイルを圧縮する必要はありませんので、スクリーンショットを送ってください🙇🏻‍♀️"
"アシスタント


申し訳ございませんが、圧縮ファイルは開けません。本村先生に登録するために、必ずスクリーンショットを送ってください"	"アシスタント


申し訳ございませんが、圧縮ファイルが開けません。
本村先生に登録するために、必ずスクリーンショットを送ってください🙇🏻‍♀️"
"せんせい


こんにちは、長い間ご返事を受け取っていませんが、
お仕事が忙しいからですか。"	"先生


こんにちは
長い間お返事をいただけていないのですが、お仕事がお忙しいからでしょうか？"
"アシスタント

こんにちは、本村先生が推薦した優良株は1605のため、より良いお知らせをするために、本村先生は購入した株数に基づいてその後の取引戦略を制定してくれます。ぜひ購入後のスクリーンショットをください。重要な情報を見逃さないように登録いたします
よろしくお願いします"	"アシスタント

こんにちは

本村先生が推薦した優良株は1605です。
本村先生は購入した株数に基づいてその後の取引戦略をより良く制定致します。
ぜひ購入後のスクリーンショットを送ってください。
重要な情報を見逃さない為に登録致します。
よろしくお願いします"
"先生



今株を持っていますか。
もしあれば株式コードやスクリーンショットを送ってくれて、この株式の現在の動きを分析してあげることができます。"	"先生



今、株を持っていますか？
もしあれば株式コードやスクリーンショットを送ってください。
この株式の現在の動きを分析致します。"
"先生



はい、ご口座では株式、FXなどの製品の取引はできません。"	"先生



はい、お口座では株式、FXなどの製品の取引はできません。"
"先生




自分の資金事情に合わせて購入することができますが、ここ数日、私が推薦した優良株の上で利益を上げ続けている学習者がいます"	"先生




自分の資金事情に合わせて購入することもできます。
ですが、ここ数日、私が推薦した優良株で利益を上げ続けている学習者もいます"
"先生




証券取引口座を開設するのにお金は必要ありません
株式を購入する場合、必要な資金は株式の価格と購入したい数によって決まります"	"先生




証券取引口座を開設するのにお金は必要ありません
株式を購入する場合、必要な資金は株式の価格と購入したい数によって決まります"
"先生




あなたが投資している株のコードを私に送ってもいいです。分析してあげましょう。"	"先生




あなたが投資している株のコードを送っていただきましたら、分析致します。"
知りたい株式コードを送ってくれて、分析してあげましょう。	知りたい株式コードを送っていただきましたら、分析いたします。
"先生




口座開設後、投資に関する質問があればコメントをください
これからもよろしくお願いします"	"先生




口座開設後、投資に関する質問があればコメントをください。
よろしくお願いします"
"アシスタント



ご追加ありがとうございます
ここ数日のグループに関するニュースは注目していますか。本村先生の公式LINEを添付してプレゼントを受け取ることはありませんが、もしあなたが今株を持っていたら、先生に分析してもらうことができます。"	"アシスタント



ご追加ありがとうございます
ここ数日のグループに関するニュースは注目されていますか？
プレゼントを受け取っていただく為に本村先生の公式LINEを追加しましたか？
もしあなたが今株を持っていたら、先生に分析してもらうことができます。"
"先生



この基金は主に科学技術、医療、電気通信サービスを空売りで主にします。
MACDはすでにゴールデンクロスを形成しており、ロングと空売りの対抗した後に強い上昇傾向を示しており、25.38%のハンドオーバー率は短期保有に適しており、短期的には上昇傾向にあります
すでにこの基金を購入している場合は、引き続き保有することを提案します。"	"先生



この基金は主に科学技術、医療、電気通信サービスを空売りで主にします。
MACDはすでにゴールデンクロスを形成しており、ロングと空売りの対抗をした後に強い上昇傾向を示します。
25.38%のハンドオーバー率は短期保有に適しており、短期的には上昇傾向にあります
すでにこの基金を購入している場合は、引き続き保有することをお勧めいたします。"
"アシスタント



ぜひ本村先生を追加してください。
今追加すると無料で投資系の本を受け取ることができます。
疑問や分からないことがあれば本村先生に相談することもできますし、先生が作った学習グループに参加することもできますので、投資の面であなたを助けることができます！"	"アシスタント



ぜひ本村先生を追加してください。
今追加すると無料で投資系の本を受け取ることができます。

疑問や分からないことがあれば本村先生に相談することもできます。
先生が作った学習グループに参加すると、投資の面でお助けすることができます！"
